DateTime,Entries,UniqueIPs
1495143861,4905,4905
1495144342,4906,4906
1495146260,4907,4907
1495146740,4906,4906
1495149139,4907,4907
1495149628,4906,4906
1495150099,4905,4905
1495150584,4906,4906
1495152259,4906,4906
1495152983,4906,4906
1495153940,4906,4906
1495154422,4905,4905
1495154900,4906,4906
1495155865,4900,4900
1495156343,4907,4907
1495156824,4902,4902
1495157304,4905,4905
1495157783,4906,4906
1495158264,4904,4904
1495158741,4906,4906
1495159704,4906,4906
1495160658,4907,4907
1495161147,4906,4906
1495161621,4907,4907
1495162106,4906,4906
1495163539,4906,4906
1495164023,4905,4905
1495164986,4906,4906
1495165459,4906,4906
1495165943,4906,4906
1495166659,4906,4906
1495167141,4906,4906
1495167621,4907,4907
1495168101,4906,4906
1495168579,4906,4906
1495169062,4906,4906
1495169540,4905,4905
1495170502,4906,4906
1495172179,4907,4907
1495172666,4906,4906
1495173139,4906,4906
1495174101,4906,4906
1495174596,4905,4905
1495175058,4906,4906
1495175542,4905,4905
1495177939,4905,4905
1495178425,4905,4905
1495178900,4906,4906
1495179380,4905,4905
1495179859,4906,4906
1495180344,4906,4906
1495181779,4906,4906
1495182264,4906,4906
1495182739,4906,4906
1495183224,4905,4905
1495183707,4906,4906
1495186579,4907,4907
1495187060,4905,4905
1495187539,4906,4906
1495188260,4906,4906
1495188739,4907,4907
1495189223,4906,4906
1495189700,4905,4905
1495190179,4907,4907
1495190659,4905,4905
1495192102,4906,4906
1495194258,4906,4906
1495194743,4906,4906
1495198340,4906,4906
1495199062,4906,4906
1495199539,4906,4906
1495200023,4906,4906
1495200978,4907,4907
1495201461,4906,4906
1495203859,4907,4907
1495204343,4906,4906
1495204820,4907,4907
1495205305,4906,4906
1495205781,4905,4905
1495206266,4906,4906
1495206739,4905,4905
1495207225,4906,4906
1495210339,4905,4905
1495210824,4906,4906
1495211779,4906,4906
1495212263,4906,4906
1495212738,4907,4907
1495213463,4906,4906
1495217059,4906,4906
1495217544,4906,4906
1495218021,4907,4907
1495218744,4906,4906
1495220180,4905,4905
1495220661,4906,4906
1495221140,4906,4906
1495221626,4906,4906
1495223058,4907,4907
1495223549,4906,4906
1495224978,4907,4907
1495225465,4906,4906
1495225940,4905,4905
1495226421,4907,4907
1495226902,4906,4906
1495229779,4907,4907
1495231710,4906,4906
1495232660,4907,4907
1495233144,4906,4906
1495233621,4907,4907
1495234587,4906,4906
1495236979,4907,4907
1495238900,4905,4905
1495239385,4906,4906
1495239862,4907,4907
1495240346,4906,4906
1495240822,4906,4906
1495241304,4906,4906
1495241780,4905,4905
1495242261,4899,4899
1495242740,4901,4901
1495243225,4902,4902
1495243700,4905,4905
1495244184,4903,4903
1495244660,4903,4903
1495245146,4905,4905
1495245858,4909,4909
1495246341,4908,4908
1495247779,4908,4908
1495248262,4908,4908
1495248739,4909,4909
1495249701,4908,4908
1495254499,4907,4907
1495254981,4908,4908
1495256659,4908,4908
1495257143,4908,4908
1495257621,4909,4909
1495258103,4908,4908
1495258578,4909,4909
1495259061,4908,4908
1495260258,4909,4909
1495260745,4908,4908
1495261459,4909,4909
1495262422,4907,4907
1495262907,4908,4908
1495264820,4909,4909
1495265303,4908,4908
1495268180,4908,4908
1495269140,4908,4908
1495269623,4907,4907
1495270101,4908,4908
1495272022,4908,4908
1495272502,4908,4908
1495272978,4909,4909
1495273463,4908,4908
1495273939,4907,4907
1495274905,4908,4908
1495276578,4909,4909
1495277059,4908,4908
1495278979,4908,4908
1495279462,4909,4909
1495279940,4908,4908
1495280422,4907,4907
1495280902,4908,4908
1495284020,4909,4909
1495284507,4908,4908
1495284979,4907,4907
1495285464,4908,4908
1495287859,4909,4909
1495288582,4908,4908
1495289779,4907,4907
1495290259,4909,4909
1495290744,4908,4908
1495291699,4908,4908
1495292181,4908,4908
1495293619,4909,4909
1495294105,4908,4908
1495294579,4907,4907
1495295062,4908,4908
1495295539,4909,4909
1495296262,4908,4908
1495297460,4909,4909
1495297945,4908,4908
1495298422,4907,4907
1495298906,4908,4908
1495299379,4908,4908
1495299862,4908,4908
1495303939,4907,4907
1495304421,4909,4909
1495305141,4908,4908
1495305621,4909,4909
1495306108,4908,4908
1495310659,4907,4907
1495311143,4908,4908
1495311620,4909,4909
1495312348,4908,4908
1495312820,4909,4909
1495313307,4908,4908
1495315701,4907,4907
1495316182,4908,4908
1495316659,4909,4909
1495317146,4908,4908
1495317859,4907,4907
1495318822,4908,4908
1495319302,4908,4908
1495319779,4909,4909
1495320262,4908,4908
1495320738,4909,4909
1495321701,4908,4908
1495322658,4910,4910
1495323142,4907,4907
1495323621,4909,4909
1495324580,4907,4907
1495325301,4908,4908
1495326259,4909,4909
1495326745,4908,4908
1495327219,4909,4909
1495327707,4908,4908
1495328179,4909,4909
1495328663,4902,4902
1495329139,4902,4902
1495329629,4900,4900
1495330099,4904,4904
1495330579,4907,4907
1495331059,4906,4906
1495331544,4904,4904
1495332504,4905,4905
1495334423,4904,4904
1495335385,4905,4905
1495338739,4905,4905
1495339700,4905,4905
1495341621,4906,4906
1495342103,4905,4905
1495345459,4904,4904
1495345943,4905,4905
1495347140,4904,4904
1495347620,4906,4906
1495348341,4905,4905
1495349300,4904,4904
1495349785,4905,4905
1495351222,4904,4904
1495351708,4905,4905
1495352179,4904,4904
1495352661,4905,4905
1495353139,4906,4906
1495354105,4905,4905
1495355058,4906,4906
1495355541,4904,4904
1495356021,4906,4906
1495356508,4905,4905
1495356979,4906,4906
1495357464,4905,4905
1495358899,4905,4905
1495359380,4904,4904
1495360344,4905,4905
1495362020,4906,4906
1495362504,4905,4905
1495362979,4906,4906
1495363463,4905,4905
1495363938,4906,4906
1495364901,4905,4905
1495365858,4906,4906
1495366343,4905,4905
