DateTime,Entries,UniqueIPs
1495146757,1552,1552
1495148699,1550,1550
1495150604,2001,2001
1495152506,2000,2000
1495154443,1996,1996
1495156358,2012,2012
1495158273,2025,2025
1495160205,2021,2021
1495162127,2021,2021
1495164058,2015,2015
1495165995,2012,2012
1495167859,2015,2015
1495169783,2006,2006
1495171728,2008,2008
1495173890,1997,1997
1495175784,1990,1990
1495177698,1993,1993
1495179619,2002,2002
1495181550,2006,2006
1495183447,2006,2006
1495185379,2016,2016
1495187306,2008,2008
1495189233,1132,1132
1495191160,1147,1147
1495193323,1535,1535
1495195321,1545,1545
1495197144,1553,1553
1495199075,1567,1567
1495200988,1578,1578
1495204833,1612,1612
1495206752,1626,1626
1495208668,1628,1628
1495210579,1629,1629
1495212501,1629,1629
1495214443,1617,1617
1495216361,1618,1618
1495218255,1614,1614
1495220196,1617,1617
1495222110,1623,1623
1495224101,1626,1626
1495225969,1625,1625
1495227875,1619,1619
1495229789,1612,1612
1495231728,1624,1624
1495233632,1633,1633
1495235543,1994,1994
1495237465,2000,2000
1495239396,2006,2006
1495241324,2240,2240
1495243235,2251,2251
1495245164,2256,2256
1495247060,2261,2261
1495249352,2266,2266
1495251165,2267,2267
1495254994,2265,2265
1495258819,2251,2251
1495260767,2245,2245
1495262659,2245,2245
1495264577,2248,2248
1495266773,2251,2251
1495268676,2246,2246
1495270592,2245,2245
1495272518,2236,2236
1495274528,2228,2228
1495276347,1161,1161
1495278531,1688,1688
1495280431,1698,1698
1495282348,1714,1714
1495284253,1721,1721
1495286445,1701,1701
1495288385,1698,1698
1495290271,1701,1701
1495292197,1700,1700
1495294118,1703,1703
1495296105,1703,1703
1495297969,1710,1710
1495299892,1737,1737
1495301827,1761,1761
1495303701,1762,1762
1495307586,1735,1735
1495309468,1732,1732
1495311386,1815,1815
1495313320,1839,1839
1495315238,1857,1857
1495317159,1871,1871
1495319063,1849,1849
1495320976,1845,1845
1495322896,2318,2318
1495324934,2320,2320
1495326772,2308,2308
1495328681,2304,2304
1495330595,2282,2282
1495332525,2258,2258
1495334444,2260,2260
1495336360,2257,2257
1495338269,2252,2252
1495340226,2238,2238
1495342119,2237,2237
1495344037,2224,2224
1495345966,2248,2248
1495347858,2239,2239
1495349804,2227,2227
1495351720,2216,2216
1495353725,2194,2194
1495355561,2209,2209
1495357482,2221,2221
1495359390,2212,2212
1495363213,1175,1175
1495365142,1633,1633
1495367050,1641,1641
1495368998,1623,1623
1495370918,1630,1630
1495372844,1644,1644
1495374775,1641,1641
1495376678,1638,1638
1495378605,1637,1637
1495380524,1642,1642
1495382545,1635,1635
1495386274,1635,1635
1495388191,1641,1641
1495390097,1633,1633
1495392046,1610,1610
1495394043,1604,1604
1495396134,1603,1603
1495398017,1599,1599
1495399935,1589,1589
1495404810,1570,1570
1495407430,1567,1567
1495409598,1986,1986
1495411759,1972,1972
1495413639,1969,1969
1495415558,1960,1960
1495417473,1957,1957
1495419404,1952,1952
1495421325,1947,1947
1495423236,1947,1947
1495425165,1943,1943
1495427062,1991,1991
1495428999,1991,1991
1495430927,2000,2000
1495432961,1991,1991
1495434771,1984,1984
1495436682,1973,1973
1495438602,1973,1973
1495440528,1983,1983
1495442446,1974,1974
1495444373,1968,1968
1495446270,1964,1964
1495448222,915,915
1495450128,922,922
1495452043,1305,1305
1495453975,1298,1298
1495455888,1303,1303
1495457796,1305,1305
1495459728,1317,1317
1495461746,1329,1329
1495463570,1329,1329
1495465725,1338,1338
1495467613,1337,1337
1495469817,1340,1340
1495471720,1337,1337
1495473649,1337,1337
1495475564,1342,1342
1495477461,1356,1356
1495479382,1358,1358
1495481296,1363,1363
1495483318,1367,1367
1495485162,1413,1413
1495487077,1395,1395
1495488997,1404,1404
1495491192,1411,1411
1495493079,1411,1411
1495494989,1752,1752
1495496903,1746,1746
1495498836,1746,1746
1495500772,1740,1740
1495502681,1736,1736
1495504600,1731,1731
1495506519,1739,1739
1495508537,1737,1737
1495510349,1739,1739
1495512526,1741,1741
1495514442,1741,1741
1495516366,1748,1748
1495518274,1754,1754
1495520206,1763,1763
1495522129,1765,1765
1495524038,1787,1787
1495525978,1797,1797
1495527882,1774,1774
1495529794,1759,1759
1495531717,1766,1766
1495533745,1761,1761
1495535566,992,992
1495539396,1370,1370
1495543222,1390,1390
1495545167,1400,1400
1495547071,1409,1409
1495549009,1417,1417
1495550933,1421,1421
1495552851,1424,1424
1495554755,1427,1427
1495556658,1433,1433
1495558584,1429,1429
1495560497,1426,1426
1495562534,1429,1429
1495564375,1432,1432
1495566288,1431,1431
1495568197,1425,1425
1495570131,1424,1424
1495572039,1421,1421
1495573963,1420,1420
1495576134,1422,1422
1495578015,1425,1425
1495579964,1421,1421
1495581874,1771,1771
1495583802,1762,1762
1495585724,1771,1771
1495587733,1763,1763
1495589546,1762,1762
1495593392,1753,1753
1495595324,1750,1750
1495597236,1743,1743
1495599159,1749,1749
1495601071,1750,1750
1495602988,1742,1742
1495604903,1746,1746
1495606849,1746,1746
1495608775,1744,1744
1495610680,1739,1739
1495612595,1738,1738
1495614527,1726,1726
1495616546,1734,1734
1495618364,1726,1726
1495620284,871,871
1495624124,864,864
1495626044,1281,1281
1495627960,1277,1277
1495629874,1281,1281
1495631778,1298,1298
1495633701,1313,1313
1495635664,1320,1320
1495637594,1335,1335
1495639463,1338,1338
1495641379,1346,1346
1495643586,1340,1340
1495645500,1347,1347
1495649570,1339,1339
1495651723,1336,1336
1495653657,1323,1323
1495655569,1321,1321
